erad_asset_type,distribution,shape,loc_m,scale_m,source_distribution,source_parameters_order,source_file,source_repo,source_version,source_commit
switch,lognorm,0.35,0.50,2.857142857142857,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
battery_storage,lognorm,0.4,0.01,0.7,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
distribution_junction_box,lognorm,0.8,2.0,1.25,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
distribution_overhead_lines,lognorm,0.50,0.01,1.280,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
distribution_poles,lognorm,0.50,0.01,1.280,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
distribution_underground_cables,lognorm,0.8,2.0,1.25,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
solar_panels,lognorm,0.4,0.01,0.8,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
substation,lognorm,0.01,0.01,1.0,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
transformer_mad_mount,lognorm,0.5,0.01,0.9,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
transformer_pole_mount,lognorm,0.5,0.01,1.2,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
transmission_junction_box,lognorm,0.40,1.0,2.5,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
transmission_overhead_lines,lognorm,0.30,1.8,3.3333333333333335,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
transmission_tower,lognorm,0.40,2.2,2.5,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
transmission_underground_cables,lognorm,0.25,0.8,4.0,scipy.stats.lognorm,"s, loc, scale",src/erad/default_fragility_curves/default_flood_depth.py,https://github.com/NREL-Distribution-Suites/erad,v0.1.11,32f7939a98c2531c63fc28c40b96e9d7d0aac74c
